time,lon,lat,lwe_cm
2002-04-18,114.375,-6.625,-1.6733491
2002-04-18,114.375,-6.875,-1.6733491
2002-04-18,114.375,-7.125,0.66759884
2002-04-18,114.375,-7.375,0.66759884
2002-04-18,114.375,-7.625,0.66759884
2002-04-18,114.375,-7.875,1.3673103
2002-04-18,114.375,-8.125,1.3673103
2002-04-18,114.375,-8.375,2.9606364
2002-04-18,113.375,-6.875,2.002629
2002-04-18,114.375,-8.625,2.9606364
2002-04-18,114.125,-6.375,-1.6733491
2002-04-18,114.125,-6.625,-1.6733491
2002-04-18,114.125,-6.875,2.002629
2002-04-18,114.125,-7.125,2.002629
2002-04-18,114.125,-7.375,0.66759884
2002-04-18,114.125,-7.625,0.66759884
2002-04-18,114.125,-7.875,1.3673103
2002-04-18,114.125,-8.125,5.098102
2002-04-18,114.125,-8.375,2.9606364
2002-04-18,114.125,-8.625,2.562482
2002-04-18,114.125,-6.125,1.4135125
2002-04-18,112.125,-6.125,3.0323179
2002-04-18,113.375,-7.125,2.002629
2002-04-18,113.375,-7.625,5.098102
2002-04-18,112.625,-6.125,3.1876833
2002-04-18,112.625,-6.375,3.1876833
2002-04-18,112.625,-6.625,3.1876833
2002-04-18,112.625,-6.875,3.1876833
2002-04-18,112.625,-7.125,13.922118
2002-04-18,112.625,-7.375,13.922118
2002-04-18,112.625,-7.625,13.922118
2002-04-18,112.625,-7.875,13.922118
2002-04-18,112.625,-8.125,13.922118
2002-04-18,112.625,-8.375,1.8857336
2002-04-18,112.625,-8.625,1.8857336
2002-04-18,112.375,-6.125,3.1876833
2002-04-18,112.375,-6.375,3.1876833
2002-04-18,112.375,-6.625,3.1876833
2002-04-18,112.375,-6.875,3.1876833
2002-04-18,112.375,-7.125,13.922118
2002-04-18,112.375,-7.375,13.922118
2002-04-18,112.375,-7.625,13.922118
2002-04-18,112.375,-7.875,13.922118
2002-04-18,112.375,-8.125,13.922118
2002-04-18,112.375,-8.375,1.8857336
2002-04-18,112.875,-8.625,1.8857336
2002-04-18,112.875,-8.375,1.8857336
2002-04-18,112.875,-8.125,13.922118
2002-04-18,112.875,-7.875,13.922118
2002-04-18,113.375,-7.875,5.098102
2002-04-18,113.375,-8.125,5.098102
2002-04-18,113.375,-8.375,5.098102
2002-04-18,113.375,-8.625,5.098102
2002-04-18,113.125,-6.125,1.4135125
2002-04-18,113.125,-6.375,3.1876833
2002-04-18,113.125,-6.625,3.1876833
2002-04-18,113.125,-6.875,2.002629
2002-04-18,113.125,-7.125,2.002629
2002-04-18,113.125,-7.375,13.922118
2002-04-18,113.375,-7.375,2.002629
2002-04-18,113.125,-7.625,13.922118
2002-04-18,113.125,-8.125,5.098102
2002-04-18,113.125,-8.375,5.098102
2002-04-18,113.125,-8.625,1.8857336
2002-04-18,112.875,-6.125,3.1876833
2002-04-18,112.875,-6.375,3.1876833
2002-04-18,112.875,-6.625,3.1876833
2002-04-18,112.875,-6.875,3.1876833
2002-04-18,112.875,-7.125,13.922118
2002-04-18,112.875,-7.375,13.922118
2002-04-18,112.875,-7.625,13.922118
2002-04-18,113.125,-7.875,5.098102
2002-04-18,109.875,-7.125,8.953946
2002-04-18,112.125,-6.875,17.97481
2002-04-18,109.875,-7.625,8.953946
2002-04-18,106.875,-6.875,3.0843768
2002-04-18,106.875,-7.125,4.19919
2002-04-18,106.875,-7.375,2.7179365
2002-04-18,106.875,-7.625,-0.3738751
2002-04-18,106.875,-7.875,-0.3738751
2002-04-18,106.875,-8.125,0.11148754
2002-04-18,106.875,-8.375,-0.42271402
2002-04-18,106.875,-8.625,-0.42271402
2002-04-18,106.625,-6.125,3.0843768
2002-04-18,106.625,-6.375,3.0843768
2002-04-18,106.625,-6.625,3.0843768
2002-04-18,106.625,-6.875,3.0843768
2002-04-18,106.625,-7.125,2.7179365
2002-04-18,106.625,-7.375,2.7179365
2002-04-18,106.625,-7.625,-0.3738751
2002-04-18,106.625,-7.875,-0.3738751
2002-04-18,106.625,-8.125,-0.3738751
2002-04-18,106.625,-8.375,-0.42271402
2002-04-18,106.625,-8.625,-0.42271402
2002-04-18,106.375,-6.125,3.0843768
2002-04-18,106.375,-6.375,3.0843768
2002-04-18,106.875,-6.625,3.0843768
2002-04-18,106.875,-6.375,3.0843768
2002-04-18,106.875,-6.125,3.0843768
2002-04-18,107.125,-8.625,0.11148754
2002-04-18,107.625,-8.625,0.11148754
2002-04-18,107.375,-6.125,2.9148514
2002-04-18,107.375,-6.375,2.9148514
2002-04-18,107.375,-6.625,4.19919
2002-04-18,107.375,-6.875,4.19919
2002-04-18,107.375,-7.125,4.19919
2002-04-18,107.375,-7.375,4.19919
2002-04-18,107.375,-7.625,4.19919
2002-04-18,107.375,-7.875,0.11148754
2002-04-18,107.375,-8.125,0.11148754
2002-04-18,106.375,-6.625,3.0843768
2002-04-18,107.375,-8.375,0.11148754
2002-04-18,107.125,-6.125,2.9148514
2002-04-18,107.125,-6.375,2.9148514
2002-04-18,107.125,-6.625,4.19919
2002-04-18,107.125,-6.875,4.19919
2002-04-18,107.125,-7.125,4.19919
2002-04-18,107.125,-7.375,4.19919
2002-04-18,107.125,-7.625,-0.3738751
2002-04-18,107.125,-7.875,0.11148754
2002-04-18,107.125,-8.125,0.11148754
2002-04-18,107.125,-8.375,0.11148754
2002-04-18,107.375,-8.625,0.11148754
2002-04-18,106.375,-6.875,3.0843768
2002-04-18,106.375,-7.125,2.7179365
2002-04-18,106.375,-7.375,-0.3738751
2002-04-18,105.875,-8.625,-0.42740375
2002-04-18,105.625,-6.125,2.2303789
2002-04-18,105.625,-6.375,2.2303789
2002-04-18,105.625,-6.625,1.6026317
2002-04-18,105.625,-6.875,-0.3774427
2002-04-18,105.625,-7.125,-0.3774427
2002-04-18,105.625,-7.375,-0.3774427
2002-04-18,105.625,-7.625,-0.42740375
2002-04-18,105.625,-7.875,-0.42740375
2002-04-18,105.625,-8.125,-0.42740375
2002-04-18,105.875,-8.375,-0.42740375
2002-04-18,105.625,-8.375,-0.42740375
2002-04-18,105.375,-6.125,2.2303789
2002-04-18,105.375,-6.375,2.2303789
2002-04-18,105.375,-6.625,-0.3774427
2002-04-18,105.375,-6.875,-0.3774427
2002-04-18,105.375,-7.125,-0.3774427
2002-04-18,105.375,-7.375,-0.3774427
2002-04-18,105.375,-7.625,-0.42740375
2002-04-18,105.375,-7.875,-0.42740375
2002-04-18,105.375,-8.125,-0.42740375
2002-04-18,109.875,-7.375,8.953946
2002-04-18,105.625,-8.625,-0.42740375
2002-04-18,107.625,-8.375,0.11148754
2002-04-18,105.875,-8.125,-0.42740375
2002-04-18,105.875,-7.625,-0.3738751
2002-04-18,106.375,-7.625,-0.3738751
2002-04-18,106.375,-7.875,-0.3738751
2002-04-18,106.375,-8.125,-0.3738751
2002-04-18,106.375,-8.375,-0.42271402
2002-04-18,106.375,-8.625,-0.42271402
2002-04-18,106.125,-6.125,3.0843768
2002-04-18,106.125,-6.375,3.0843768
2002-04-18,106.125,-6.625,3.0843768
2002-04-18,106.125,-6.875,3.0843768
2002-04-18,106.125,-7.125,-0.3738751
2002-04-18,105.875,-7.875,-0.42740375
2002-04-18,106.125,-7.375,-0.3738751
2002-04-18,106.125,-7.875,-0.3738751
2002-04-18,106.125,-8.125,-0.3738751
2002-04-18,106.125,-8.375,-0.42271402
2002-04-18,106.125,-8.625,-0.42271402
2002-04-18,105.875,-6.125,2.2303789
2002-04-18,105.875,-6.375,3.0843768
2002-04-18,105.875,-6.625,1.6026317
2002-04-18,105.875,-6.875,1.6026317
2002-04-18,105.875,-7.125,-0.3774427
2002-04-18,105.875,-7.375,-0.3774427
2002-04-18,106.125,-7.625,-0.3738751
2002-04-18,107.625,-8.125,0.11148754
2002-04-18,105.375,-8.375,-0.42740375
2002-04-18,109.375,-8.625,0.42014804
2002-04-18,109.125,-6.125,3.7591808
2002-04-18,109.125,-6.375,5.010012
2002-04-18,109.125,-6.625,8.953946
2002-04-18,109.125,-6.875,8.953946
2002-04-18,109.125,-7.125,8.953946
2002-04-18,109.125,-7.375,8.953946
2002-04-18,109.125,-7.625,4.712998
2002-04-18,109.125,-7.875,0.42014804
2002-04-18,109.125,-8.125,0.42014804
2002-04-18,109.125,-8.375,0.42014804
2002-04-18,109.125,-8.625,0.42014804
2002-04-18,108.875,-6.125,5.010012
2002-04-18,108.875,-6.625,5.010012
2002-04-18,108.875,-6.875,5.010012
2002-04-18,108.875,-7.125,4.712998
2002-04-18,108.875,-7.375,4.712998
2002-04-18,108.875,-7.625,4.712998
2002-04-18,108.875,-7.875,0.44895422
2002-04-18,108.875,-8.125,0.44895422
2002-04-18,108.875,-8.375,0.29211622
2002-04-18,108.875,-8.625,0.29211622
2002-04-18,107.625,-7.875,0.11148754
2002-04-18,109.375,-8.375,0.42014804
2002-04-18,109.375,-8.125,0.42014804
2002-04-18,109.375,-7.875,0.42014804
2002-04-18,109.875,-7.875,0.42014804
2002-04-18,109.875,-8.125,0.42014804
2002-04-18,109.875,-8.375,0.42014804
2002-04-18,109.875,-8.625,0.42014804
2002-04-18,109.625,-6.125,3.7591808
2002-04-18,109.625,-6.375,3.7591808
2002-04-18,109.625,-6.625,8.953946
2002-04-18,109.625,-6.875,8.953946
2002-04-18,109.625,-7.125,8.953946
2002-04-18,109.625,-7.375,8.953946
2002-04-18,108.625,-6.125,5.010012
2002-04-18,109.625,-7.625,8.953946
2002-04-18,109.625,-8.125,0.42014804
2002-04-18,109.625,-8.375,0.42014804
2002-04-18,109.625,-8.625,0.42014804
2002-04-18,109.375,-6.125,3.7591808
2002-04-18,109.375,-6.375,3.7591808
2002-04-18,109.375,-6.625,8.953946
2002-04-18,109.375,-6.875,8.953946
2002-04-18,109.375,-7.125,8.953946
2002-04-18,109.375,-7.375,8.953946
2002-04-18,109.375,-7.625,8.953946
2002-04-18,109.625,-7.875,0.42014804
2002-04-18,108.625,-6.375,5.010012
2002-04-18,108.875,-6.375,5.010012
2002-04-18,108.625,-6.875,5.010012
2002-04-18,108.125,-7.875,0.44895422
2002-04-18,108.125,-8.125,0.11148754
2002-04-18,108.125,-8.375,0.29211622
2002-04-18,108.125,-8.625,0.29211622
2002-04-18,107.875,-6.125,1.8709509
2002-04-18,107.875,-6.375,2.9148514
2002-04-18,107.875,-6.625,4.19919
2002-04-18,107.875,-6.875,4.19919
2002-04-18,108.625,-6.625,5.010012
2002-04-18,107.875,-7.375,4.19919
2002-04-18,108.125,-7.625,4.712998
2002-04-18,107.875,-7.625,4.712998
2002-04-18,107.875,-8.125,0.11148754
2002-04-18,107.875,-8.375,0.11148754
2002-04-18,107.875,-8.625,0.11148754
2002-04-18,107.625,-6.125,1.8709509
2002-04-18,107.625,-6.375,2.9148514
2002-04-18,107.625,-6.625,4.19919
2002-04-18,107.625,-6.875,4.19919
2002-04-18,107.625,-7.125,4.19919
2002-04-18,107.625,-7.375,4.19919
2002-04-18,107.625,-7.625,4.19919
2002-04-18,107.875,-7.875,0.11148754
2002-04-18,108.125,-7.375,4.712998
2002-04-18,107.875,-7.125,4.19919
2002-04-18,108.125,-6.875,5.010012
2002-04-18,108.125,-7.125,4.19919
2002-04-18,108.625,-7.375,4.712998
2002-04-18,108.625,-7.625,4.712998
2002-04-18,108.625,-7.875,0.44895422
2002-04-18,108.625,-8.125,0.44895422
2002-04-18,108.625,-8.375,0.29211622
2002-04-18,108.625,-8.625,0.29211622
2002-04-18,108.375,-6.125,5.010012
2002-04-18,108.375,-6.375,5.010012
2002-04-18,108.375,-6.625,5.010012
2002-04-18,108.625,-7.125,4.712998
2002-04-18,108.375,-7.125,4.712998
2002-04-18,108.375,-6.875,5.010012
2002-04-18,108.125,-6.375,5.010012
2002-04-18,108.125,-6.125,5.010012
2002-04-18,108.375,-8.625,0.29211622
2002-04-18,108.375,-8.375,0.29211622
2002-04-18,108.125,-6.625,5.010012
2002-04-18,108.375,-7.875,0.44895422
2002-04-18,108.375,-7.625,4.712998
2002-04-18,108.375,-7.375,4.712998
2002-04-18,108.375,-8.125,0.44895422
2002-05-10,111.375,-7.625,10.012166
2002-05-10,111.625,-8.625,1.3425269
2002-05-10,111.375,-6.125,1.869545
2002-05-10,111.375,-6.375,1.869545
2002-05-10,111.375,-6.625,11.210494
2002-05-10,111.375,-6.875,11.210494
2002-05-10,111.625,-8.375,1.3425269
2002-05-10,111.375,-7.125,11.210494
2002-05-10,111.375,-7.375,11.210494
2002-05-10,111.375,-7.875,10.012166
2002-05-10,111.125,-6.625,7.79645
2002-05-10,111.375,-8.375,1.3425269
2002-05-10,111.375,-8.625,1.3425269
2002-05-10,111.125,-6.125,1.869545
2002-05-10,111.125,-6.375,3.7966623
2002-05-10,111.125,-6.875,11.210494
2002-05-10,111.125,-7.125,11.210494
2002-05-10,111.125,-7.375,11.210494
2002-05-10,111.125,-7.625,12.09817
2002-05-10,111.125,-7.875,10.012166
2002-05-10,111.625,-8.125,10.012166
2002-05-10,111.375,-8.125,10.012166
2002-05-10,111.625,-7.875,10.012166
2002-05-10,109.875,-7.125,10.610887
2002-05-10,111.625,-7.375,11.210494
2002-05-10,112.125,-7.375,8.891035
2002-05-10,112.125,-7.625,8.891035
2002-05-10,112.125,-7.875,8.891035
2002-05-10,112.125,-8.125,10.012166
2002-05-10,112.125,-8.375,1.9814205
2002-05-10,112.125,-8.625,1.9814205
2002-05-10,111.875,-6.125,1.869545
2002-05-10,111.875,-6.375,1.869545
2002-05-10,111.875,-6.625,11.210494
2002-05-10,111.875,-6.875,11.210494
2002-05-10,111.625,-7.625,10.012166
2002-05-10,111.875,-7.125,11.210494
2002-05-10,111.875,-7.625,10.012166
2002-05-10,111.875,-7.875,10.012166
2002-05-10,111.875,-8.125,10.012166
2002-05-10,111.875,-8.375,1.3425269
2002-05-10,111.875,-8.625,1.3425269
2002-05-10,111.625,-6.125,1.869545
2002-05-10,111.625,-6.375,1.869545
2002-05-10,111.625,-6.625,11.210494
2002-05-10,111.625,-6.875,11.210494
2002-05-10,111.625,-7.125,11.210494
2002-05-10,111.875,-7.375,11.210494
2002-05-10,111.125,-8.125,10.012166
2002-05-10,109.875,-6.875,10.610887
2002-05-10,111.125,-8.625,0.9697366
2002-05-10,110.375,-7.125,12.09817
2002-05-10,110.375,-7.375,12.09817
2002-05-10,110.375,-7.625,12.09817
2002-05-10,110.375,-7.875,12.09817
2002-05-10,110.375,-8.125,12.09817
2002-05-10,110.375,-8.375,0.9697366
2002-05-10,110.375,-8.625,0.9697366
2002-05-10,110.125,-6.125,3.7966623
2002-05-10,110.125,-6.375,3.7966623
2002-05-10,110.125,-6.625,3.7966623
2002-05-10,110.375,-6.875,7.79645
2002-05-10,110.125,-6.875,10.610887
2002-05-10,110.125,-7.375,12.09817
2002-05-10,110.125,-7.625,12.09817
2002-05-10,110.125,-7.875,12.09817
2002-05-10,110.125,-8.125,4.050634
2002-05-10,110.125,-8.375,0.9697366
2002-05-10,110.125,-8.625,0.9697366
2002-05-10,109.875,-6.125,4.831749
2002-05-10,109.875,-6.375,4.831749
2002-05-10,109.875,-6.625,10.610887
